iid,gender,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,like_o,prob_o,met_o,age,field,race,imprace,imprelig,from,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr3_1,sinc3_1,fun3_1,intel3_1,dec,attr,sinc,intel,fun,like,prob,met
5,0,12.0,0,0.0,1,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,7.0,10.0,7.0,7.0,4.0,1.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,0,8.0,6.0,6.0,5.0,6.0,4.0,1.0
5,0,13.0,0,-0.17,0,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,1.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,0,4.0,6.0,8.0,8.0,6.0,5.0,1.0
5,0,14.0,1,0.08,1,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,1,6.0,8.0,6.0,8.0,7.0,7.0,1.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,8.0,5.0,5.0,7.0,8.0,2.0,1.0
5,0,15.0,0,-0.16,0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,0,5.0,9.0,9.0,7.0,5.0,7.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,0,6.0,7.0,7.0,5.0,7.0,4.0,2.0
5,0,16.0,0,0.06,1,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,0,5.0,8.0,7.0,7.0,6.0,7.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,5.0,6.0,7.0,5.0,7.0,3.0,2.0
5,0,17.0,0,-0.05,1,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,6.0,6.0,8.0,5.0,6.0,3.0,2.0
5,0,18.0,0,0.07,1,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,5.0,5.0,7.0,6.0,6.0,4.0,2.0
5,0,19.0,1,-0.13,1,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,1,5.0,9.0,9.0,9.0,7.0,7.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,7.0,5.0,7.0,8.0,9.0,4.0,2.0
5,0,20.0,0,-0.06,1,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3.0,10.0,7.0,7.0,4.0,10.0,2.0,21.0,law,2.0,8.0,1.0,Bowdoin College,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,6.0,3.0,6.0,10.0,1,9.0,6.0,7.0,9.0,10.0,3.0,2.0
6,0,11.0,0,0.33,0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,9.0,8.0,9.0,7.0,4.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,6.0,9.0,7.0,6.0,6.0,6.0,2.0
6,0,12.0,0,0.37,0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,8.0,10.0,6.0,7.0,4.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,6.0,9.0,9.0,6.0,7.0,6.0,2.0
6,0,13.0,0,-0.51,1,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,1.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,0,4.0,7.0,9.0,4.0,6.0,2.0,1.0
6,0,14.0,1,0.12,0,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,1,6.0,8.0,8.0,7.0,7.0,7.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,8.0,6.0,7.0,8.0,9.0,4.0,2.0
6,0,15.0,0,0.35,0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,1,9.0,7.0,9.0,7.0,9.0,2.0,1.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,0,5.0,4.0,8.0,8.0,4.0,3.0,1.0
6,0,16.0,0,0.19,0,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,1,6.0,6.0,8.0,8.0,6.0,6.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,0,3.0,7.0,6.0,1.0,2.0,2.0,2.0
6,0,17.0,0,0.47,0,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,0,5.0,6.0,8.0,4.0,3.0,3.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,8.0,8.0,8.0,8.0,8.0,7.0,2.0
6,0,18.0,0,0.03,0,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,8.0,7.0,7.0,6.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,0,4.0,8.0,9.0,2.0,5.0,5.0,2.0
6,0,19.0,1,0.46,0,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,1,6.0,7.0,7.0,6.0,6.0,6.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,7.0,6.0,8.0,8.0,9.0,6.0,2.0
6,0,20.0,0,0.43,0,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,10.0,10.0,6.0,6.0,7.0,2.0,23.0,law,4.0,1.0,1.0,MD,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,5.0,7.0,8.0,9.0,1,8.0,9.0,9.0,9.0,9.0,8.0,2.0
7,0,11.0,0,0.19,0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,8.0,8.0,8.0,7.0,4.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,0,4.0,8.0,8.0,5.0,7.0,4.0,2.0
7,0,12.0,0,0.21,0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,1,7.0,9.0,10.0,6.0,8.0,4.0,1.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,0,6.0,6.0,8.0,4.0,7.0,3.0,1.0
7,0,14.0,1,-0.46,0,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,1,8.0,8.0,9.0,8.0,8.0,7.0,1.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,1,7.0,8.0,8.0,7.0,8.0,6.0,1.0
7,0,15.0,0,-0.27,0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,8.0,4.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,0,4.0,7.0,7.0,4.0,5.0,6.0,1.0
7,0,16.0,0,0.59,0,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,1,8.0,8.0,8.0,6.0,7.0,7.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,0,4.0,8.0,7.0,4.0,5.0,5.0,2.0
7,0,17.0,0,0.31,0,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,0,7.0,6.0,5.0,4.0,5.0,4.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,1,7.0,7.0,8.0,7.0,8.0,7.0,2.0
7,0,18.0,0,0.08,0,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,1,8.0,7.0,6.0,7.0,7.0,5.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,0,5.0,7.0,8.0,5.0,5.0,7.0,2.0
7,0,19.0,1,-0.34,0,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,1,9.0,7.0,9.0,9.0,9.0,9.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,1,6.0,6.0,8.0,8.0,6.0,6.0,2.0
7,0,20.0,0,-0.16,0,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,6.0,8.0,6.0,7.0,7.0,2.0,22.0,law,4.0,2.0,4.0,Southern California,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,6.0,6.0,5.0,7.0,1,8.0,6.0,7.0,7.0,7.0,5.0,2.0
8,0,11.0,0,-0.03,1,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,0,8.0,7.0,6.0,6.0,7.0,4.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,5.0,8.0,7.0,4.0,4.0,5.0,2.0
8,0,12.0,1,-0.11,1,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,1,8.0,8.0,10.0,7.0,9.0,4.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,8.0,7.0,7.0,9.0,8.0,7.0,2.0
8,0,13.0,1,0.42,0,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,5.0,8.0,8.0,6.0,5.0,5.0,2.0
8,0,14.0,1,-0.4,1,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,1,8.0,8.0,8.0,8.0,8.0,7.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,8.0,6.0,5.0,6.0,5.0,6.0,2.0
8,0,15.0,1,-0.23,0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,1,9.0,9.0,8.0,9.0,9.0,7.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,6.0,8.0,8.0,5.0,6.0,5.0,2.0
8,0,16.0,1,0.28,1,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,1,8.0,7.0,7.0,7.0,7.0,6.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,6.0,8.0,8.0,5.0,6.0,5.0,2.0
8,0,17.0,0,0.05,1,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,0,6.0,4.0,7.0,5.0,4.0,4.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,6.0,7.0,8.0,5.0,6.0,6.0,2.0
8,0,18.0,1,0.17,1,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,1,9.0,8.0,8.0,8.0,7.0,5.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,5.0,6.0,7.0,4.0,5.0,4.0,2.0
8,0,19.0,1,-0.47,1,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,1,8.0,7.0,8.0,10.0,8.0,8.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,8.0,8.0,5.0,9.0,7.0,10.0,2.0
8,0,20.0,1,-0.21,1,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1,8.0,10.0,9.0,9.0,8.0,8.0,2.0,25.0,masters in public administration,2.0,1.0,1.0,"London, England",1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,7.0,4.0,8.0,8.0,1,7.0,6.0,8.0,7.0,8.0,7.0,2.0
9,0,11.0,0,0.19,0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,7.0,8.0,6.0,4.0,2.0,26.0,masters in public administration,6.0,1.0,1.0,"Palm Springs, California",1.0,4.0,1.0,"Congresswoman, and comedian",9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,7.0,6.0,10.0,7.0,1,8.0,10.0,9.0,8.0,5.0,5.0,2.0
9,0,12.0,1,0.03,0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,1,8.0,8.0,10.0,7.0,8.0,4.0,2.0,26.0,masters in public administration,6.0,1.0,1.0,"Palm Springs, California",1.0,4.0,1.0,"Congresswoman, and comedian",9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,7.0,6.0,10.0,7.0,1,10.0,10.0,10.0,10.0,10.0,5.0,2.0
9,0,13.0,1,0.68,0,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,2.0,26.0,masters in public administration,6.0,1.0,1.0,"Palm Springs, California",1.0,4.0,1.0,"Congresswoman, and comedian",9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,7.0,6.0,10.0,7.0,1,5.0,10.0,10.0,6.0,8.0,5.0,2.0
